GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
blg-475-project,sonnet46.task46,Solution,0,50,0,4,0,11,0,4,0,2
blg-475-project,sonnet46.task48,Solution,0,27,0,4,0,8,0,4,0,2
blg-475-project,gpt54.task110,Solution,0,47,0,10,0,9,0,7,0,2
blg-475-project,sonnet46.task124,Solution,3,130,1,19,2,12,1,11,0,2
blg-475-project,gpt54.task156,Solution,0,147,0,4,0,10,0,4,0,2
blg-475-project,sonnet46.task40,Solution,0,57,0,8,0,8,0,6,0,2
blg-475-project,sonnet46.task162,Solution,0,34,0,4,0,8,0,4,0,2
blg-475-project,sonnet46.task160,Solution,1,215,1,19,1,31,1,11,0,2
blg-475-project,sonnet46.task44,Solution,0,28,0,4,0,7,0,4,0,2
blg-475-project,gpt54.task44,Solution,2,28,1,3,1,8,1,3,0,2
blg-475-project,gpt54.task48,Solution,0,27,0,4,0,9,0,4,0,2
blg-475-project,gpt54.task46,Solution,4,47,4,6,2,14,4,3,0,2
blg-475-project,sonnet46.task129,Solution,0,153,1,19,0,19,1,11,0,2
blg-475-project,gpt54.task40,Solution,0,68,0,10,0,17,0,7,0,2
blg-475-project,sonnet46.task57,Solution,0,55,0,10,0,6,0,7,0,2
blg-475-project,gpt54.task140,Solution,0,68,0,12,0,19,0,8,0,2
blg-475-project,sonnet46.task13,Solution,0,17,0,2,0,6,0,3,0,2
blg-475-project,sonnet46.task58,Solution,0,26,0,0,0,7,0,2,0,2
blg-475-project,sonnet46.task16,Solution,0,33,0,2,0,5,0,3,0,2
blg-475-project,gpt54.task141,Solution,2,87,2,16,1,17,2,9,0,2
blg-475-project,sonnet46.task18,Solution,0,34,0,8,0,8,0,6,0,2
blg-475-project,sonnet46.task55,Solution,0,33,0,6,0,9,0,5,0,2
blg-475-project,gpt54.task109,Solution,0,46,0,8,0,10,0,6,0,2
blg-475-project,gpt54.task76,Solution,0,37,1,11,0,9,1,7,0,2
blg-475-project,gpt54.task32,Solution,0,113,0,10,0,26,0,8,0,3
blg-475-project,gpt54.task8,Solution,0,41,0,2,0,7,0,3,0,2
blg-475-project,sonnet46.task69,Solution,0,70,1,7,0,11,1,5,0,2
blg-475-project,sonnet46.task25,Solution,0,39,0,6,0,9,0,5,0,2
blg-475-project,gpt54.task5,Solution,0,31,0,4,0,7,0,4,0,2
blg-475-project,sonnet46.task29,Solution,0,16,0,0,0,4,0,3,0,3
blg-475-project,sonnet46.task8,Solution,0,41,0,2,0,7,0,3,0,2
blg-475-project,gpt54.task0,Solution,2,42,1,5,1,8,1,4,0,2
blg-475-project,gpt54.task1,Solution,0,57,2,10,0,17,2,6,0,2
blg-475-project,gpt54.task29,Solution,0,16,0,0,0,4,0,3,0,3
blg-475-project,sonnet46.task140,Solution,0,63,0,12,0,18,0,8,0,2
blg-475-project,sonnet46.task141,Solution,0,67,1,17,0,11,1,10,0,2
blg-475-project,sonnet46.task20,Solution,0,82,0,4,0,12,0,4,0,2
blg-475-project,sonnet46.task65,Solution,0,32,0,2,0,7,0,3,0,2
blg-475-project,sonnet46.task0,Solution,0,40,0,6,0,6,0,5,0,2
blg-475-project,gpt54.task20,Solution,0,76,0,4,0,15,0,4,0,2
blg-475-project,gpt54.task65,Solution,0,40,0,4,0,9,0,4,0,2
blg-475-project,sonnet46.task1,Solution,0,59,1,9,0,15,1,6,0,2
blg-475-project,gpt54.task69,Solution,0,70,1,7,0,11,1,5,0,2
blg-475-project,sonnet46.task5,Solution,0,48,0,4,0,9,0,4,0,2
blg-475-project,gpt54.task25,Solution,0,39,0,6,0,11,0,5,0,2
blg-475-project,sonnet46.task109,Solution,0,43,0,8,0,8,0,6,0,2
blg-475-project,sonnet46.task156,Solution,0,147,0,4,0,9,0,4,0,2
blg-475-project,gpt54.task162,Solution,0,53,0,4,0,9,0,4,0,2
blg-475-project,sonnet46.task110,Solution,0,41,0,6,0,4,0,7,0,4
blg-475-project,gpt54.task160,Solution,6,187,1,29,1,47,1,22,0,6
blg-475-project,gpt54.task18,Solution,0,34,1,7,0,8,1,5,0,2
blg-475-project,gpt54.task124,Solution,0,101,3,11,0,10,3,6,0,2
blg-475-project,gpt54.task129,Solution,0,172,1,19,0,30,1,11,0,2
blg-475-project,sonnet46.task76,Solution,0,35,0,8,0,7,0,6,0,2
blg-475-project,sonnet46.task32,Solution,0,89,0,8,0,16,0,7,0,3
blg-475-project,gpt54.task55,Solution,2,31,1,5,1,11,1,4,0,2
blg-475-project,gpt54.task16,Solution,0,26,0,2,0,5,0,3,0,2
blg-475-project,gpt54.task57,Solution,0,53,0,10,0,9,0,7,0,2
blg-475-project,gpt54.task13,Solution,0,22,0,2,0,8,0,3,0,2
blg-475-project,gpt54.task58,Solution,0,43,0,4,0,9,0,4,0,2
